date,inflow,storage,elevation,precip,tmax,tmin
2010-01-01,180.0,16200.0,2216.3,0.0,-2.13,-14.47
2010-01-02,178.2,16115.6,2216.26,0.0,-3.13,-17.1
2010-01-03,182.1,16033.5,2216.22,0.0,-2.9,-15.03
2010-01-04,187.3,15954.5,2216.18,0.0,-2.47,-13.64
2010-01-05,197.6,15881.7,2216.14,0.0,-5.03,-16.87
2010-01-06,201.05,15811.0,2216.11,0.0,-5.28,-16.69
2010-01-07,213.41,15747.7,2216.07,3.07,-5.44,-16.35
2010-01-08,184.35,15667.0,2216.03,0.0,-5.42,-17.1
2010-01-09,193.21,15591.5,2216.0,0.0,-5.02,-17.32
2010-01-10,206.15,15523.9,2215.96,4.13,-5.68,-16.11
2010-01-11,188.98,15445.9,2215.92,0.0,-3.16,-14.97
2010-01-12,171.77,15357.6,2215.88,0.0,-0.76,-11.27
2010-01-13,174.65,15271.1,2215.84,0.0,-2.57,-11.11
2010-01-14,180.68,15188.1,2215.79,0.0,-6.12,-15.44
2010-01-15,173.32,15100.8,2215.75,0.0,-4.8,-14.08
2010-01-16,194.91,15026.4,2215.71,1.02,-3.77,-16.81
2010-01-17,196.04,14952.6,2215.68,0.0,-6.57,-16.09
2010-01-18,194.63,14878.1,2215.64,0.0,-2.31,-13.99
2010-01-19,163.6,14784.9,2215.59,0.0,-0.81,-14.79
2010-01-20,163.15,14691.4,2215.55,1.26,-2.62,-14.78
2010-01-21,157.19,14594.4,2215.5,0.0,-6.48,-19.5
2010-01-22,160.63,14499.4,2215.45,0.0,-1.41,-10.52
2010-01-23,173.97,14412.5,2215.41,0.0,-1.08,-12.75
2010-01-24,165.86,14320.6,2215.36,0.0,-2.33,-16.81
2010-01-25,185.25,14240.4,2215.32,0.0,-5.14,-16.36
2010-01-26,181.96,14158.2,2215.28,0.0,-5.1,-18.12
2010-01-27,197.04,14085.1,2215.24,0.0,-3.61,-14.25
2010-01-28,194.65,14010.6,2215.21,0.0,-2.85,-14.15
2010-01-29,200.05,13939.2,2215.17,0.0,-4.61,-16.05
2010-01-30,233.38,13887.9,2215.14,0.0,-10.04,-19.87
2010-01-31,257.93,13851.3,2215.13,0.0,-10.6,-23.31
2010-02-01,280.84,13828.5,2215.11,0.0,-5.51,-20.76
2010-02-02,275.07,13802.2,2215.1,0.25,-9.25,-16.41
2010-02-03,268.26,13771.8,2215.09,0.0,0.09,-11.49
2010-02-04,270.83,13742.9,2215.07,0.0,-1.13,-10.03
2010-02-05,270.87,13714.1,2215.06,0.0,-2.64,-12.53
2010-02-06,312.49,13710.2,2215.06,0.0,-0.65,-10.65
2010-02-07,316.04,13708.5,2215.05,0.0,3.21,-6.66
2010-02-08,295.74,13694.6,2215.05,0.0,5.19,-7.78
2010-02-09,332.92,13703.0,2215.05,4.81,2.11,-7.75
2010-02-10,318.77,13702.9,2215.05,0.0,-5.89,-17.25
2010-02-11,279.09,13679.0,2215.04,0.0,-3.76,-13.21
2010-02-12,285.04,13658.7,2215.03,2.53,0.85,-10.2
2010-02-13,256.97,13621.6,2215.01,0.0,0.18,-13.28
2010-02-14,256.79,13584.3,2214.99,0.0,-3.05,-15.47
2010-02-15,234.91,13533.9,2214.97,0.0,-1.27,-12.85
2010-02-16,213.39,13470.6,2214.94,0.0,-0.68,-12.21
2010-02-17,219.01,13410.6,2214.91,0.0,2.35,-8.64
2010-02-18,262.55,13376.8,2214.89,5.99,-6.33,-15.35
2010-02-19,230.27,13323.6,2214.86,0.0,-4.25,-15.77
2010-02-20,232.26,13271.6,2214.84,0.0,-0.64,-11.16
2010-02-21,249.62,13230.0,2214.82,0.0,-0.21,-12.13
2010-02-22,231.47,13177.6,2214.79,0.0,-3.45,-13.75
2010-02-23,282.09,13155.5,2214.78,0.0,-2.28,-14.31
2010-02-24,275.16,13129.2,2214.76,0.0,-2.9,-14.67
2010-02-25,268.89,13099.2,2214.75,0.0,-0.5,-11.51
2010-02-26,250.78,13058.3,2214.73,0.0,-4.21,-15.01
2010-02-27,258.81,13022.3,2214.71,0.0,-5.76,-19.09
2010-02-28,277.6,12997.5,2214.7,7.96,-5.47,-16.73
2010-03-01,255.9,12959.7,2214.68,0.0,-3.96,-14.9
2010-03-02,246.39,12916.2,2214.66,0.0,1.21,-10.82
2010-03-03,246.12,12872.5,2214.64,1.03,4.75,-7.42
2010-03-04,254.71,12834.0,2214.62,0.0,4.4,-6.09
2010-03-05,255.82,12796.1,2214.6,0.0,5.09,-6.64
2010-03-06,273.71,12769.0,2214.58,0.0,3.02,-8.06
2010-03-07,269.78,12739.5,2214.57,0.0,4.7,-7.07
2010-03-08,300.56,12728.5,2214.56,0.0,6.32,-5.26
2010-03-09,368.56,12758.3,2214.58,3.17,5.46,-5.31
2010-03-10,366.07,12786.6,2214.59,0.0,7.09,-4.21
2010-03-11,363.68,12813.4,2214.61,0.0,10.91,-1.46
2010-03-12,316.17,12811.8,2214.61,0.0,4.46,-6.6
2010-03-13,306.06,12804.1,2214.6,0.0,7.68,-2.54
2010-03-14,273.09,12776.6,2214.59,0.0,5.44,-6.29
2010-03-15,258.36,12740.3,2214.57,0.0,5.23,-3.6
2010-03-16,203.01,12670.7,2214.54,0.0,6.19,-0.77
2010-03-17,190.91,12593.9,2214.5,0.0,6.64,-1.44
2010-03-18,152.57,12494.1,2214.45,0.93,2.6,-6.29
2010-03-19,156.24,12396.5,2214.4,0.0,5.37,-5.44
2010-03-20,155.21,12298.3,2214.35,1.19,6.88,-4.25
2010-03-21,135.79,12188.4,2214.29,0.0,1.98,-8.1
2010-03-22,140.73,12081.5,2214.24,0.0,-2.53,-11.33
2010-03-23,138.81,11973.4,2214.19,0.0,4.22,-6.74
2010-03-24,150.56,11872.4,2214.14,0.0,1.3,-7.6
2010-03-25,155.03,11774.1,2214.09,0.0,1.65,-8.39
2010-03-26,152.7,11674.3,2214.04,0.0,3.28,-8.39
2010-03-27,151.29,11573.8,2213.99,0.0,5.22,-3.37
2010-03-28,169.92,11484.4,2213.94,0.0,6.71,-3.05
2010-03-29,185.12,11404.1,2213.9,6.88,4.66,-4.67
2010-03-30,177.03,11319.0,2213.86,0.0,5.8,-5.69
2010-03-31,142.68,11213.2,2213.81,0.0,3.44,-10.7
2010-04-01,142.31,11107.3,2213.75,0.0,0.65,-7.79
