date,inflow,storage,elevation,precip,tmax,tmin
2010-01-01,619.3,43200.0,98.12,0.0,2.53,-7.28
2010-01-02,633.55,43166.7,98.11,0.0,0.81,-8.29
2010-01-03,631.55,43132.3,98.1,0.0,3.9,-5.04
2010-01-04,667.45,43119.3,98.09,6.63,3.14,-9.78
2010-01-05,681.24,43114.7,98.09,0.0,0.59,-8.65
2010-01-06,708.22,43126.2,98.09,0.0,-0.47,-11.41
2010-01-07,798.15,43191.7,98.11,0.0,1.93,-6.07
2010-01-08,749.58,43228.1,98.13,0.27,1.48,-8.22
2010-01-09,819.81,43306.6,98.15,0.0,0.61,-9.26
2010-01-10,763.71,43351.4,98.16,0.0,3.32,-7.32
2010-01-11,777.79,43404.7,98.18,0.0,-0.29,-10.5
2010-01-12,759.89,43447.2,98.19,0.0,3.34,-5.68
2010-01-13,750.77,43484.3,98.2,0.0,1.75,-9.74
2010-01-14,787.38,43543.3,98.22,0.0,0.21,-9.81
2010-01-15,810.19,43616.0,98.24,0.0,4.88,-6.56
2010-01-16,1172.78,43906.3,98.33,21.0,-1.77,-13.13
2010-01-17,1113.01,44160.7,98.4,0.0,-1.85,-12.89
2010-01-18,1176.19,44453.0,98.49,4.57,-1.99,-12.27
2010-01-19,893.47,44575.7,98.53,0.0,4.79,-6.37
2010-01-20,857.09,44676.6,98.56,0.0,4.59,-5.59
2010-01-21,862.83,44780.9,98.59,0.0,6.0,-5.0
2010-01-22,706.54,44791.4,98.59,0.0,6.12,-4.76
2010-01-23,679.64,44785.8,98.59,0.0,4.21,-9.1
2010-01-24,569.73,44714.2,98.57,0.0,4.68,-4.41
2010-01-25,1018.59,44912.0,98.63,27.26,4.82,-3.53
2010-01-26,1571.06,45441.2,98.79,44.47,5.54,-2.52
2010-01-27,1335.52,45829.1,98.9,6.83,10.32,-1.83
2010-01-28,1026.94,46031.9,98.96,0.08,11.74,-0.64
2010-01-29,830.04,46116.5,98.99,1.78,8.91,-3.28
2010-01-30,702.55,46124.7,98.99,0.0,4.29,-5.53
2010-01-31,632.29,46090.6,98.98,0.0,11.77,1.01
2010-02-01,627.88,46054.0,98.97,0.3,6.92,-0.88
2010-02-02,558.49,45975.7,98.95,0.0,12.83,2.15
2010-02-03,577.77,45908.9,98.93,3.92,8.11,0.54
2010-02-04,576.47,45841.4,98.91,0.0,6.64,-2.56
2010-02-05,892.59,45963.6,98.94,14.55,9.93,-2.05
2010-02-06,836.43,46052.1,98.97,0.0,7.88,-1.32
2010-02-07,798.62,46117.8,98.99,0.0,11.5,-0.48
2010-02-08,853.56,46216.6,99.02,0.0,5.61,-1.43
2010-02-09,807.28,46287.5,99.04,0.0,8.15,-3.21
2010-02-10,805.77,46357.6,99.06,0.0,7.03,-3.84
2010-02-11,849.81,46454.1,99.09,2.98,6.55,-4.94
2010-02-12,1331.65,46839.7,99.21,19.8,8.84,-2.13
2010-02-13,1419.22,47277.8,99.34,13.46,7.62,-3.16
2010-02-14,1487.85,47757.1,99.48,1.76,6.17,-7.29
2010-02-15,1286.63,48115.7,99.59,6.83,5.21,-6.86
2010-02-16,1728.09,48739.2,99.77,36.16,6.21,-4.91
2010-02-17,1254.77,49078.6,99.88,0.0,8.63,-2.9
2010-02-18,1566.5,49605.1,100.03,23.38,7.77,-3.01
2010-02-19,1536.39,50113.6,100.19,1.96,12.66,3.33
2010-02-20,1316.09,50489.8,100.3,0.0,15.3,4.1
2010-02-21,1174.41,50781.1,100.39,0.0,8.11,-1.71
2010-02-22,1041.72,50992.7,100.45,0.0,8.29,0.59
2010-02-23,1022.56,51192.9,100.51,0.0,13.42,2.72
2010-02-24,921.43,51332.3,100.55,0.0,11.63,-0.3
2010-02-25,867.8,51439.6,100.58,0.0,6.13,-4.35
2010-02-26,882.65,51555.8,100.62,0.0,14.85,3.83
2010-02-27,764.14,51600.9,100.63,0.0,10.92,3.37
2010-02-28,784.28,51658.1,100.65,0.0,11.47,-0.88
2010-03-01,853.84,51757.0,100.68,0.0,12.81,2.34
2010-03-02,834.11,51844.0,100.7,3.23,11.42,0.37
2010-03-03,827.43,51927.1,100.73,0.55,11.08,0.22
2010-03-04,778.66,51980.9,100.75,0.0,6.34,-5.28
2010-03-05,971.92,52150.7,100.8,2.88,10.44,-0.64
2010-03-06,885.67,52268.7,100.83,0.0,12.83,0.55
2010-03-07,826.88,52351.4,100.86,0.0,16.91,6.18
2010-03-08,1004.77,52540.9,100.91,11.05,12.51,3.3
2010-03-09,1006.96,52731.6,100.97,0.0,9.42,-1.27
2010-03-10,1393.13,53154.1,101.1,21.08,9.89,-2.45
2010-03-11,1139.79,53424.6,101.18,0.0,8.98,-1.41
2010-03-12,1343.32,53817.2,101.29,14.18,8.2,-2.2
2010-03-13,1188.19,54116.7,101.38,0.52,14.08,3.56
2010-03-14,1130.66,54381.7,101.46,0.0,12.46,-1.52
2010-03-15,1035.24,54589.5,101.53,0.0,13.49,1.24
2010-03-16,998.36,54775.1,101.58,4.65,10.94,0.46
2010-03-17,1030.45,54980.0,101.64,0.0,18.84,7.74
2010-03-18,1179.37,55274.2,101.73,0.0,19.8,7.7
2010-03-19,1790.04,55934.8,101.93,34.14,17.8,3.75
2010-03-20,1412.28,56368.8,102.06,0.0,13.04,2.04
2010-03-21,1467.68,56836.0,102.2,0.0,13.73,2.2
2010-03-22,1349.15,57232.1,102.32,4.82,11.03,0.14
2010-03-23,1253.23,57570.6,102.42,5.24,13.7,3.02
2010-03-24,1284.47,57927.9,102.53,0.0,15.95,3.38
2010-03-25,1108.19,58179.4,102.6,0.0,13.94,3.28
2010-03-26,1111.03,58432.7,102.68,0.0,8.88,-3.01
2010-03-27,1054.8,58652.1,102.74,0.0,8.16,-0.69
2010-03-28,979.03,58826.2,102.79,0.14,4.9,-3.55
2010-03-29,1091.44,59067.6,102.87,3.12,6.57,-7.28
2010-03-30,1168.0,59355.0,102.95,2.54,11.6,-0.46
2010-03-31,1159.77,59637.5,103.04,0.0,15.52,4.91
2010-04-01,1470.23,60106.2,103.18,11.48,15.3,5.59
2010-04-02,1495.48,60590.1,103.32,0.0,12.99,2.97
2010-04-03,1481.83,61065.8,103.46,0.96,10.62,2.08
2010-04-04,1707.09,61676.7,103.65,0.0,12.15,3.57
2010-04-05,1744.18,62309.8,103.84,0.0,14.38,3.46
2010-04-06,1666.5,62896.3,104.01,0.0,13.18,3.03
2010-04-07,2122.32,63756.3,104.27,10.56,12.57,2.5
2010-04-08,2027.52,64559.4,104.51,0.0,11.63,-2.42
2010-04-09,1836.06,65247.7,104.72,0.0,12.88,1.63
2010-04-10,1666.83,65834.3,104.89,0.0,11.68,-1.7
2010-04-11,1821.34,66513.8,105.1,0.0,12.49,1.41
2010-04-12,1584.0,67050.8,105.26,0.0,10.89,-0.42
2010-04-13,1562.95,67575.1,105.41,0.0,14.15,2.31
2010-04-14,1382.5,67991.2,105.54,0.0,20.91,8.71
2010-04-15,1312.33,68365.2,105.65,0.0,23.1,9.97
2010-04-16,1283.97,68722.2,105.76,0.0,26.62,15.64
2010-04-17,1296.38,69086.7,105.87,0.0,27.17,13.33
2010-04-18,1195.21,69390.4,105.96,0.0,22.68,10.35
2010-04-19,1079.45,69624.7,106.03,0.0,22.67,12.1
2010-04-20,1080.99,69859.9,106.1,0.0,20.41,11.48
2010-04-21,1176.19,70152.2,106.18,8.51,22.33,12.4
2010-04-22,1017.61,70349.4,106.24,3.48,17.62,7.42
2010-04-23,803.46,70418.0,106.26,0.0,14.46,2.74
2010-04-24,979.38,70592.3,106.32,3.94,16.68,7.25
2010-04-25,970.97,70761.5,106.37,0.0,16.3,5.83
2010-04-26,1015.39,70957.3,106.43,0.0,17.48,6.15
2010-04-27,1225.11,71279.0,106.52,10.08,18.09,5.58
2010-04-28,1077.89,71512.3,106.59,0.0,19.1,7.01
2010-04-29,958.86,71674.2,106.64,0.0,13.23,3.08
2010-04-30,844.5,71767.5,106.67,0.0,18.39,7.5
2010-05-01,883.68,71884.3,106.7,0.0,16.2,3.32
2010-05-02,705.14,71894.0,106.71,0.0,17.06,5.14
2010-05-03,721.65,71913.6,106.71,0.0,21.87,8.07
2010-05-04,712.18,71927.5,106.72,0.0,20.94,8.11
2010-05-05,695.76,71931.6,106.72,0.0,17.39,3.21
2010-05-06,726.59,71954.2,106.72,0.0,19.25,6.4
2010-05-07,735.13,71981.8,106.73,0.0,23.58,8.87
2010-05-08,803.58,72050.6,106.75,0.0,19.09,8.36
2010-05-09,671.35,72040.0,106.75,0.0,18.23,7.65
2010-05-10,689.67,72040.4,106.75,0.0,19.99,8.99
2010-05-11,910.87,72173.5,106.79,11.94,16.35,8.43
2010-05-12,913.74,72308.4,106.83,0.0,19.23,5.39
2010-05-13,881.32,72423.8,106.86,0.0,20.82,9.82
2010-05-14,767.53,72470.9,106.88,0.0,24.79,13.85
2010-05-15,654.57,72450.2,106.87,0.0,22.48,10.79
2010-05-16,610.84,72403.4,106.86,0.0,23.44,13.67
2010-05-17,641.6,72374.9,106.85,0.0,24.46,11.74
